id,subject_uid,question,option_a,option_b,option_c,option_d,correct_answer
253,26,"Tài sản là gì?","Nguồn vốn","Những gì doanh nghiệp sở hữu","Nợ","Chi phí","b"
254,26,"Nợ phải trả là gì?","Tài sản","Nghĩa vụ phải trả","Doanh thu","Lợi nhuận","b"
255,26,"Vốn chủ sở hữu là gì?","Nợ","Phần thuộc về chủ sở hữu","Chi phí","Doanh thu","b"
256,26,"Nguyên tắc kế toán cơ bản là gì?","Tùy ý","Trung thực, nhất quán","Quảng cáo","Thiết kế","b"
257,26,"Bút toán là gì?","Báo cáo","Ghi chép nghiệp vụ","Marketing","Bán hàng","b"
258,26,"Kế toán ghi nhận theo cơ sở nào?","Tiền mặt","Dồn tích","Ngẫu nhiên","Ước lượng","b"
259,26,"Chi phí là gì?","Doanh thu","Khoản làm giảm lợi ích","Tài sản","Vốn","b"
260,26,"Doanh thu là gì?","Chi phí","Khoản thu từ hoạt động","Nợ","Vốn","b"
261,27,"Quản trị nhân sự là gì?","Quản lý tài chính","Quản lý con người","Marketing","Bán hàng","b"
262,27,"Tuyển dụng dùng để làm gì?","Sa thải","Tìm và chọn nhân viên","Quảng cáo","Đào tạo","b"
263,27,"Đào tạo nhân sự nhằm mục đích gì?","Giảm chi phí","Nâng cao năng lực","Giảm nhân sự","Tăng nghỉ việc","b"
264,27,"Đánh giá hiệu suất dùng để làm gì?","Phạt","Đo lường hiệu quả làm việc","Sa thải","Marketing","b"
265,27,"Lương thưởng nhằm mục đích gì?","Giảm chi phí","Tạo động lực","Phạt","Kiểm soát","b"
266,27,"Văn hóa doanh nghiệp là gì?","Nội quy","Giá trị và hành vi chung","Logo","Slogan","b"
267,27,"Quan hệ lao động là gì?","Quan hệ xã hội","Quan hệ giữa người lao động và DN","Marketing","Bán hàng","b"
268,27,"Luật lao động dùng để làm gì?","Quảng cáo","Bảo vệ quyền lợi","Thiết kế","Marketing","b"
269,27,"Phúc lợi nhân viên là gì?","Lương","Quyền lợi ngoài lương","Phạt","Chi phí","b"
270,27,"HRM là viết tắt của gì?","Human Resource Management","High Risk Model","Human Relation Marketing","Host Resource Manager","a"
271,28,"Logistics là gì?","Sản xuất","Quản lý dòng chảy hàng hóa","Marketing","Bán hàng","b"
272,28,"Chuỗi cung ứng gồm những gì?","Khách hàng","Nhà cung cấp đến người tiêu dùng","Marketing","HR","b"
273,28,"Vận chuyển dùng để làm gì?","Lưu kho","Di chuyển hàng hóa","Quảng cáo","Thiết kế","b"
274,28,"Kho bãi dùng để làm gì?","Bán hàng","Lưu trữ hàng hóa","Marketing","Sản xuất","b"
275,28,"Quản lý tồn kho nhằm mục đích gì?","Tăng tồn","Tối ưu chi phí","Lãng phí","Quảng cáo","b"
276,28,"Just In Time nghĩa là gì?","Dự trữ nhiều","Cung ứng đúng lúc","Giao hàng chậm","Dự trữ lâu","b"
277,28,"Lead time là gì?","Thời gian giao hàng","Chi phí","Số lượng","Kho","a"
278,28,"Logistics ảnh hưởng gì?","Marketing","Chi phí và dịch vụ","Thiết kế","Nhân sự","b"
279,28,"SCM là viết tắt của gì?","Supply Chain Management","System Control Model","Service Cost Method","Stock Chain Market","a"
280,28,"Mục tiêu SCM là gì?","Tăng tồn kho","Tối ưu toàn chuỗi","Quảng cáo","Thiết kế","b"
281,29,"Thương mại điện tử là gì?","Bán trực tiếp","Kinh doanh qua Internet","Marketing","Logistics","b"
282,29,"Website TMĐT dùng để làm gì?","Giới thiệu","Bán hàng online","Quảng cáo","HR","b"
283,29,"Cổng thanh toán là gì?","Ngân hàng","Xử lý thanh toán trực tuyến","Marketing","Kho","b"
284,29,"B2C là gì?","Doanh nghiệp với DN","Doanh nghiệp với khách hàng","Khách với khách","Chính phủ","b"
285,29,"B2B là gì?","DN với khách hàng","DN với DN","Khách với khách","C2B","b"
286,29,"Giỏ hàng dùng để làm gì?","Quảng cáo","Lưu sản phẩm chọn mua","Thanh toán","Giao hàng","b"
287,29,"UX trong TMĐT quan trọng vì sao?","Trang trí","Tăng trải nghiệm mua","Giảm chi phí","Tăng lỗi","b"
288,29,"CRM dùng để làm gì?","Quản lý khách hàng","Quản lý kho","Quản lý code","Quản lý server","a"
289,29,"Flash sale là gì?","Bán chậm","Khuyến mãi ngắn hạn","Giá cao","Bán buôn","b"
290,29,"Niềm tin khách hàng ảnh hưởng gì?","Ít quan trọng","Quyết định mua","Marketing","Kho","b"
291,30,"Quản trị dự án là gì?","Lập trình","Quản lý công việc theo mục tiêu","Marketing","Kế toán","b"
292,30,"Dự án có đặc điểm gì?","Liên tục","Có thời hạn","Lặp lại","Vĩnh viễn","b"
293,30,"Phạm vi dự án là gì?","Chi phí","Công việc cần làm","Nhân sự","Marketing","b"
294,30,"Tiến độ dự án dùng để làm gì?","Trang trí","Theo dõi thời gian","Marketing","Thiết kế","b"
295,30,"Chi phí dự án dùng để làm gì?","Quảng cáo","Quản lý ngân sách","Thiết kế","HR","b"
296,30,"Stakeholder dự án là ai?","Lập trình viên","Người liên quan","Server","DB","b"
297,30,"Risk trong dự án là gì?","Cơ hội","Rủi ro tiềm ẩn","Thành công","Lợi nhuận","b"
298,30,"Gantt Chart dùng để làm gì?","Vẽ giao diện","Theo dõi tiến độ","Marketing","Kế toán","b"
299,30,"PM là viết tắt của gì?","Product Manager","Project Manager","Program Model","Process Manager","b"
300,30,"Quản trị dự án tốt giúp gì?","Trễ hạn","Đạt mục tiêu","Tăng chi phí","Giảm chất lượng","b"
301,31,"Pháp luật là gì?","Quy định cá nhân","Hệ thống quy tắc xử sự chung","Luật công ty","Nội quy","b"
302,31,"Pháp luật do ai ban hành?","Cá nhân","Nhà nước","Doanh nghiệp","Gia đình","b"
303,31,"Đặc điểm của pháp luật là gì?","Tự nguyện","Bắt buộc chung","Tùy chọn","Cá nhân","b"
304,31,"Quy phạm pháp luật là gì?","Lời khuyên","Quy tắc xử sự","Đạo đức","Phong tục","b"
305,31,"Chế tài pháp luật dùng để làm gì?","Khuyến khích","Xử lý vi phạm","Quảng cáo","Giải trí","b"
306,31,"Luật thuộc hệ thống nào?","Đạo đức","Quy phạm xã hội","Phong tục","Tập quán","b"
307,31,"Pháp luật điều chỉnh lĩnh vực nào?","Hành vi xã hội","Thời tiết","Tâm lý","Nghệ thuật","a"
308,31,"Vi phạm pháp luật là gì?","Hành vi hợp pháp","Hành vi trái luật","Hành vi đạo đức","Hành vi cá nhân","b"
309,31,"Trách nhiệm pháp lý là gì?","Phần thưởng","Hậu quả pháp lý","Quyền lợi","Nghĩa vụ đạo đức","b"
310,31,"Luật đại cương cung cấp điều gì?","Chi tiết chuyên ngành","Kiến thức nền pháp luật","Kỹ thuật","Marketing","b"
311,32,"Luật kinh tế điều chỉnh lĩnh vực nào?","Gia đình","Hoạt động kinh doanh","Hình sự","Giáo dục","b"
312,32,"Chủ thể kinh doanh là ai?","Cá nhân, tổ chức","Học sinh","Công chức","Sinh viên","a"
313,32,"Hợp đồng kinh tế là gì?","Thỏa thuận dân sự","Thỏa thuận trong kinh doanh","Hợp đồng lao động","Cam kết cá nhân","b"
314,32,"Nguyên tắc tự do kinh doanh nghĩa là gì?","Kinh doanh tùy ý","Được làm những gì luật cho phép","Không cần luật","Không chịu quản lý","b"
315,32,"Phá sản là gì?","Tạm ngừng","Mất khả năng thanh toán","Lợi nhuận thấp","Giải thể tự nguyện","b"
316,32,"Luật cạnh tranh nhằm mục đích gì?","Hạn chế DN","Bảo vệ cạnh tranh lành mạnh","Quảng cáo","Tăng thuế","b"
317,32,"Doanh nghiệp nhà nước là gì?","DN tư nhân","DN do Nhà nước sở hữu","DN nước ngoài","DN nhỏ","b"
318,32,"Tranh chấp kinh tế là gì?","Tranh cãi","Mâu thuẫn trong kinh doanh","Xung đột cá nhân","Mâu thuẫn xã hội","b"
319,32,"Giải quyết tranh chấp kinh tế bằng cách nào?","Bạo lực","Tòa án, trọng tài","Thương lượng cá nhân","Im lặng","b"
320,32,"Luật kinh tế bảo vệ điều gì?","Cá nhân","Trật tự kinh doanh","Quảng cáo","Marketing","b"
321,33,"Luật lao động điều chỉnh mối quan hệ nào?","Gia đình","Người lao động và NSDLĐ","Kinh doanh","Hình sự","b"
322,33,"Hợp đồng lao động là gì?","Thỏa thuận miệng","Thỏa thuận làm việc","Hợp đồng kinh tế","Cam kết cá nhân","b"
323,33,"Thời giờ làm việc là gì?","Giờ nghỉ","Thời gian làm việc theo luật","Giờ cá nhân","Giờ tự do","b"
324,33,"Tiền lương là gì?","Tiền thưởng","Khoản trả cho NLĐ","Phúc lợi","Chi phí","b"
325,33,"Bảo hiểm xã hội dùng để làm gì?","Quảng cáo","Bảo vệ NLĐ","Marketing","Thiết kế","b"
326,33,"An toàn lao động nhằm mục đích gì?","Tăng năng suất","Bảo vệ sức khỏe NLĐ","Giảm lương","Giảm nhân sự","b"
327,33,"Chấm dứt HĐLĐ khi nào?","Tùy ý","Theo quy định pháp luật","Không cần lý do","Bất kỳ lúc nào","b"
328,33,"Tranh chấp lao động là gì?","Mâu thuẫn cá nhân","Mâu thuẫn về quyền, nghĩa vụ","Xung đột xã hội","Vấn đề gia đình","b"
329,33,"Đình công là gì?","Nghỉ phép","Ngừng việc tập thể","Sa thải","Phạt","b"
330,33,"Luật lao động nhằm bảo vệ ai?","Chỉ DN","Cả NLĐ và DN","Chỉ NLĐ","Chỉ Nhà nước","b"
331,34,"Giáo dục học là gì?","Dạy học","Khoa học nghiên cứu giáo dục","Tâm lý","Xã hội","b"
332,34,"Đối tượng của giáo dục học là gì?","Học sinh","Quá trình giáo dục","Giáo viên","Trường học","b"
333,34,"Mục tiêu giáo dục là gì?","Truyền đạt kiến thức","Phát triển con người","Đào tạo nghề","Thi cử","b"
334,34,"Giáo dục bao gồm những yếu tố nào?","Dạy","Dạy và học","Học","Thi","b"
335,34,"Giáo dục chính quy là gì?","Tự học","Giáo dục trong hệ thống trường","Học online","Học gia đình","b"
336,34,"Giáo dục toàn diện là gì?","Chỉ kiến thức","Phát triển toàn diện","Chỉ đạo đức","Chỉ thể chất","b"
337,34,"Nhà trường có vai trò gì?","Trang trí","Tổ chức giáo dục","Quảng cáo","Marketing","b"
338,34,"Giáo dục gắn với điều gì?","Xã hội","Thực tiễn","Lý thuyết","Cá nhân","b"
339,34,"Giáo dục học thuộc lĩnh vực nào?","Kỹ thuật","Khoa học xã hội","Kinh tế","Luật","b"
340,34,"Giáo dục học giúp gì?","Quản lý","Nâng cao chất lượng dạy học","Quảng cáo","Thiết kế","b"
341,35,"Phương pháp giảng dạy là gì?","Cách học","Cách tổ chức dạy học","Thi cử","Đánh giá","b"
342,35,"Phương pháp thuyết trình là gì?","Học nhóm","GV trình bày kiến thức","Thảo luận","Thực hành","b"
343,35,"Phương pháp vấn đáp là gì?","Viết bài","Hỏi – đáp","Thuyết trình","Thực hành","b"
344,35,"Dạy học tích cực là gì?","GV giảng","HS chủ động học","Thi nhiều","Học thuộc","b"
345,35,"Phương pháp nhóm dùng để làm gì?","Trang trí","Tăng tương tác","Giảm học","Kiểm tra","b"
346,35,"Phương pháp thực hành phù hợp khi nào?","Lý thuyết","Rèn kỹ năng","Thi viết","Đọc sách","b"
347,35,"Vai trò của GV là gì?","Người truyền đạt","Người tổ chức, hướng dẫn","Người chấm điểm","Người kiểm soát","b"
348,35,"Đánh giá trong dạy học nhằm mục đích gì?","Phạt","Đo kết quả học tập","Quảng cáo","Thiết kế","b"
349,35,"CNTT hỗ trợ dạy học như thế nào?","Giảm học","Tăng hiệu quả","Gây nhiễu","Không cần","b"
350,35,"Lựa chọn phương pháp dạy phụ thuộc vào gì?","Cảm tính","Mục tiêu và đối tượng","Thời tiết","Trang trí","b"
351,36,"Tâm lý học giáo dục nghiên cứu điều gì?","Hành vi xã hội","Tâm lý người học trong giáo dục","Bệnh lý","Sinh lý","b"
352,36,"Đối tượng của tâm lý học giáo dục là ai?","Giáo viên","Người học","Phụ huynh","Xã hội","b"
353,36,"Động cơ học tập là gì?","Sự ép buộc","Yếu tố thúc đẩy học tập","Áp lực","Kết quả","b"
354,36,"Hứng thú học tập ảnh hưởng thế nào?","Không ảnh hưởng","Tăng hiệu quả học","Giảm trí nhớ","Gây nhiễu","b"
355,36,"Trí nhớ trong học tập dùng để làm gì?","Quên","Lưu giữ thông tin","Đánh giá","Thi cử","b"
356,36,"Phong cách học tập là gì?","Cách dạy","Cách tiếp nhận kiến thức","Thời gian học","Điểm số","b"
357,36,"Tâm lý lứa tuổi giúp gì cho GV?","Trang trí","Hiểu đặc điểm người học","Quản lý tài chính","Marketing","b"
358,36,"Stress học đường là gì?","Niềm vui","Căng thẳng trong học tập","Động lực","Thành tích","b"
359,36,"Phản hồi tích cực có tác dụng gì?","Gây áp lực","Khuyến khích học tập","Làm nản","Giảm tự tin","b"
360,36,"Tâm lý học giáo dục hỗ trợ điều gì?","Quản trị","Nâng cao hiệu quả dạy học","Quảng cáo","Thiết kế","b"
361,37,"Sinh học nghiên cứu điều gì?","Máy móc","Sự sống","Xã hội","Kinh tế","b"
362,37,"Đơn vị cơ bản của sự sống là gì?","Mô","Cơ thể","Tế bào","Cơ quan","c"
363,37,"ADN có chức năng gì?","Cung cấp năng lượng","Mang thông tin di truyền","Tiêu hóa","Hô hấp","b"
364,37,"Protein có vai trò gì?","Lưu trữ","Cấu trúc và chức năng","Dẫn truyền","Bảo vệ","b"
365,37,"Enzyme là gì?","Chất béo","Chất xúc tác sinh học","Vitamin","Khoáng chất","b"
366,37,"Quang hợp xảy ra ở đâu?","Rễ","Thân","Lá","Hoa","c"
367,37,"Hô hấp tế bào nhằm mục đích gì?","Tạo màu","Tạo năng lượng","Sinh sản","Vận chuyển","b"
368,37,"Sinh sản vô tính là gì?","Có giao tử","Không cần giao tử","Lai giống","Đột biến","b"
369,37,"Tiến hóa là gì?","Thay đổi tức thì","Biến đổi theo thời gian","Suy thoái","Ngẫu nhiên","b"
370,37,"Sinh học đại cương cung cấp gì?","Chi tiết y khoa","Kiến thức nền về sự sống","Luật","Kinh tế","b"
371,38,"Y học cơ sở cung cấp điều gì?","Kỹ thuật","Kiến thức nền y khoa","Marketing","Luật","b"
372,38,"Giải phẫu học nghiên cứu gì?","Chức năng","Cấu trúc cơ thể","Hóa học","Sinh thái","b"
373,38,"Sinh lý học nghiên cứu gì?","Cấu trúc","Chức năng cơ thể","Hình thái","Môi trường","b"
374,38,"Hệ tuần hoàn có chức năng gì?","Tiêu hóa","Vận chuyển máu","Hô hấp","Bài tiết","b"
375,38,"Hệ hô hấp giúp gì?","Vận động","Trao đổi khí","Tiêu hóa","Bảo vệ","b"
376,38,"Hệ tiêu hóa dùng để làm gì?","Hô hấp","Tiêu hóa thức ăn","Vận chuyển","Bài tiết","b"
377,38,"Miễn dịch là gì?","Bệnh","Khả năng bảo vệ cơ thể","Tổn thương","Nhiễm trùng","b"
378,38,"Vi sinh vật có vai trò gì?","Chỉ gây bệnh","Có lợi và hại","Không ảnh hưởng","Chỉ có hại","b"
379,38,"Y học dự phòng nhằm mục đích gì?","Điều trị","Phòng bệnh","Phẫu thuật","Cấp cứu","b"
380,38,"Y học cơ sở là nền tảng cho gì?","Marketing","Các chuyên ngành y","Kinh tế","Luật","b"
381,39,"Dinh dưỡng học nghiên cứu gì?","Bệnh lý","Thực phẩm và dinh dưỡng","Sinh học","Hóa học","b"
382,39,"Chất dinh dưỡng đa lượng gồm gì?","Vitamin","Protein, lipid, glucid","Khoáng","Nước","b"
383,39,"Protein có vai trò gì?","Tạo năng lượng chính","Xây dựng cơ thể","Chống oxy hóa","Điều hòa","b"
384,39,"Lipid có chức năng gì?","Dẫn truyền","Cung cấp năng lượng","Tạo enzyme","Miễn dịch","b"
385,39,"Vitamin cần thiết vì sao?","Cung cấp năng lượng","Điều hòa chuyển hóa","Xây cơ","Tạo máu","b"
386,39,"Khoáng chất có vai trò gì?","Sinh năng lượng","Cấu trúc và điều hòa","Tiêu hóa","Hô hấp","b"
387,39,"Dinh dưỡng hợp lý giúp gì?","Gây béo","Tăng sức khỏe","Giảm trí nhớ","Stress","b"
388,39,"Suy dinh dưỡng là gì?","Ăn nhiều","Thiếu chất dinh dưỡng","Ăn đủ","Ăn cân bằng","b"
389,39,"Tháp dinh dưỡng dùng để làm gì?","Trang trí","Hướng dẫn ăn uống","Quảng cáo","Đánh giá","b"
390,39,"Dinh dưỡng học giúp phòng gì?","Tai nạn","Bệnh tật","Stress","Nhiễm trùng","b"
391,40,"Sức khỏe cộng đồng nghiên cứu gì?","Cá nhân","Sức khỏe quần thể","Bệnh hiếm","Giải phẫu","b"
392,40,"Mục tiêu sức khỏe cộng đồng là gì?","Điều trị","Nâng cao sức khỏe","Phẫu thuật","Cấp cứu","b"
393,40,"Phòng bệnh cấp 1 là gì?","Điều trị","Ngăn ngừa bệnh xảy ra","Phục hồi","Cách ly","b"
394,40,"Tiêm chủng có tác dụng gì?","Điều trị","Phòng bệnh","Chẩn đoán","Phẫu thuật","b"
395,40,"Y tế dự phòng thuộc lĩnh vực nào?","Điều trị","Sức khỏe cộng đồng","Ngoại khoa","Nội khoa","b"
396,40,"Môi trường ảnh hưởng thế nào đến sức khỏe?","Không ảnh hưởng","Ảnh hưởng trực tiếp","Ít ảnh hưởng","Không liên quan","b"
397,40,"Giáo dục sức khỏe nhằm mục đích gì?","Quảng cáo","Thay đổi hành vi","Giải trí","Đánh giá","b"
398,40,"Dịch tễ học nghiên cứu gì?","Giải phẫu","Sự phân bố bệnh","Hóa sinh","Vi sinh","b"
399,40,"Chăm sóc sức khỏe ban đầu là gì?","Chuyên sâu","Dịch vụ y tế cơ bản","Phẫu thuật","Điều trị đặc biệt","b"
400,40,"Sức khỏe cộng đồng gắn với điều gì?","Cá nhân","Xã hội","Doanh nghiệp","Gia đình","b"
401,41,"Khoa học xã hội nghiên cứu lĩnh vực nào?","Tự nhiên","Xã hội và hành vi con người","Công nghệ","Y học","b"
402,41,"Đối tượng nghiên cứu chính của khoa học xã hội là gì?","Máy móc","Con người trong xã hội","Động vật","Thực vật","b"
403,41,"Khoa học xã hội giúp hiểu điều gì?","Cấu trúc ADN","Hành vi và mối quan hệ xã hội","Thuật toán","Cơ học","b"
404,41,"Ngành nào thuộc khoa học xã hội?","Vật lý","Hóa học","Xã hội học","Sinh học","c"
405,41,"Nghiên cứu xã hội thường sử dụng phương pháp nào?","Thí nghiệm vật lý","Khảo sát và phỏng vấn","Lập trình","Thiết kế mạch","b"
406,41,"Khoa học xã hội có vai trò gì?","Giải trí","Hỗ trợ hoạch định chính sách","Chỉ nghiên cứu lý thuyết","Không ứng dụng","b"
407,41,"Hành vi xã hội là gì?","Hành vi cá nhân","Hành vi trong môi trường xã hội","Bản năng","Phản xạ","b"
408,41,"Khoa học xã hội liên quan chặt chẽ đến lĩnh vực nào?","Kinh tế","Công nghệ phần cứng","Toán cao cấp","Cơ khí","a"
409,41,"Mục tiêu của khoa học xã hội là gì?","Dự đoán thời tiết","Hiểu và cải thiện xã hội","Tăng tốc máy tính","Thiết kế sản phẩm","b"
410,41,"Khoa học xã hội khác khoa học tự nhiên ở điểm nào?","Không nghiên cứu","Nghiên cứu con người và xã hội","Không có dữ liệu","Không có phương pháp","b"
411,42,"Tâm lý học nghiên cứu điều gì?","Cơ thể","Hành vi và tâm trí","Xã hội","Máy móc","b"
412,42,"Đối tượng nghiên cứu của tâm lý học là ai?","Động vật","Con người","Máy tính","Thực vật","b"
413,42,"Tâm lý học giúp hiểu điều gì?","Cấu trúc xã hội","Cảm xúc và hành vi","Luật pháp","Kinh tế","b"
414,42,"Nhận thức trong tâm lý học là gì?","Cảm xúc","Quá trình hiểu biết","Hành động","Phản xạ","b"
415,42,"Cảm xúc ảnh hưởng thế nào đến hành vi?","Không ảnh hưởng","Ảnh hưởng trực tiếp","Chỉ ảnh hưởng học tập","Chỉ ảnh hưởng trí nhớ","b"
416,42,"Động cơ là gì?","Kết quả","Yếu tố thúc đẩy hành vi","Hành động","Cảm xúc","b"
417,42,"Học tập trong tâm lý học là gì?","Bản năng","Thay đổi hành vi qua trải nghiệm","Phản xạ","Di truyền","b"
418,42,"Tâm lý học ứng dụng trong lĩnh vực nào?","Giáo dục","Marketing","Y tế","Tất cả các lĩnh vực trên","d"
419,42,"Stress là gì?","Niềm vui","Trạng thái căng thẳng tâm lý","Động lực","Thành công","b"
420,42,"Tâm lý học giúp con người làm gì?","Hiểu bản thân","Lập trình","Thiết kế","Kế toán","a"
421,43,"Xã hội học nghiên cứu điều gì?","Cá nhân","Cấu trúc và quá trình xã hội","Máy móc","Sinh học","b"
422,43,"Đối tượng nghiên cứu của xã hội học là gì?","Tế bào","Nhóm và cộng đồng","Hệ điều hành","Thuật toán","b"
423,43,"Xã hội học giúp hiểu điều gì?","Hành vi cá nhân","Mối quan hệ xã hội","Cơ chế máy","Dữ liệu","b"
424,43,"Khái niệm xã hội là gì?","Một người","Tập hợp các mối quan hệ","Máy móc","Tài nguyên","b"
425,43,"Chuẩn mực xã hội là gì?","Luật tự nhiên","Quy tắc hành vi chung","Thuật toán","Phần mềm","b"
426,43,"Vai trò xã hội là gì?","Nghề nghiệp","Vị trí và hành vi kỳ vọng","Thu nhập","Học vấn","b"
427,43,"Văn hóa là gì?","Thức ăn","Giá trị và niềm tin chung","Công nghệ","Luật pháp","b"
428,43,"Xã hội học hiện đại quan tâm đến vấn đề nào?","Thiên văn","Bất bình đẳng xã hội","Cơ học","Hóa học","b"
429,43,"Toàn cầu hóa ảnh hưởng thế nào đến xã hội?","Không ảnh hưởng","Làm thay đổi cấu trúc xã hội","Chỉ ảnh hưởng kinh tế","Chỉ ảnh hưởng công nghệ","b"
430,43,"Xã hội học hỗ trợ lĩnh vực nào?","Quản lý","Chính sách xã hội","Thiết kế mạch","Lập trình","b"
431,44,"Thiết kế đồ họa là gì?","Vẽ tay","Truyền tải thông tin bằng hình ảnh","Lập trình","Soạn thảo văn bản","b"
432,44,"Công cụ phổ biến trong thiết kế đồ họa là gì?","Word","Photoshop","Excel","PowerPoint","b"
433,44,"Màu sắc trong thiết kế có vai trò gì?","Trang trí","Truyền cảm xúc","Không quan trọng","Chỉ làm đẹp","b"
434,44,"Typography là gì?","Màu sắc","Nghệ thuật chữ","Bố cục","Hình ảnh","b"
435,44,"Bố cục giúp gì trong thiết kế?","Rối mắt","Dễ nhìn và dễ hiểu","Chỉ để trang trí","Không quan trọng","b"
436,44,"Thiết kế đồ họa thường dùng trong lĩnh vực nào?","Y học","Truyền thông","Cơ khí","Luật","b"
437,44,"Logo là gì?","Bài viết","Biểu tượng thương hiệu","Hình nền","Video","b"
438,44,"Thiết kế đồ họa tốt cần yếu tố nào?","Ngẫu nhiên","Tính thẩm mỹ và rõ ràng","Chỉ đẹp","Chỉ sáng tạo","b"
439,44,"Thiết kế đồ họa khác mỹ thuật ở điểm nào?","Không khác","Hướng đến truyền thông","Chỉ vẽ tay","Không sáng tạo","b"
440,44,"Thiết kế đồ họa hỗ trợ điều gì?","Kế toán","Xây dựng thương hiệu","Lập trình hệ thống","Phân tích dữ liệu","b"
441,45,"UI UX Design là gì?","Lập trình backend","Thiết kế giao diện và trải nghiệm","Quản trị","Kiểm thử","b"
442,45,"UI tập trung vào yếu tố nào?","Logic","Giao diện người dùng","Dữ liệu","Server","b"
443,45,"UX tập trung vào điều gì?","Màu sắc","Trải nghiệm người dùng","Font chữ","Hình ảnh","b"
444,45,"Người dùng là trung tâm của lĩnh vực nào?","UI UX","DevOps","Backend","Database","a"
445,45,"Wireframe là gì?","Sản phẩm hoàn chỉnh","Bản phác thảo giao diện","Mã nguồn","Cơ sở dữ liệu","b"
446,45,"Prototype dùng để làm gì?","Lập trình","Mô phỏng trải nghiệm","Triển khai server","Lưu trữ dữ liệu","b"
447,45,"Usability nghĩa là gì?","Đẹp","Dễ sử dụng","Nhanh","Rẻ","b"
448,45,"UI UX tốt giúp gì cho sản phẩm?","Phức tạp hơn","Tăng sự hài lòng","Tốn chi phí","Khó dùng","b"
449,45,"UI UX thường áp dụng cho sản phẩm nào?","Phần mềm","Website","Ứng dụng","Tất cả các đáp án trên","d"
450,45,"UI UX Design liên quan chặt đến lĩnh vực nào?","Kinh doanh","Công nghệ số","Nông nghiệp","Cơ khí","b"
451,46,"Thiết kế đa phương tiện là gì?","Thiết kế in ấn","Kết hợp nhiều loại media","Lập trình","Soạn thảo văn bản","b"
452,46,"Media trong đa phương tiện gồm?","Chữ","Hình ảnh, âm thanh, video","Mã nguồn","Dữ liệu thô","b"
453,46,"Video là thành phần nào của multimedia?","Văn bản","Truyền tải hình ảnh động","Âm thanh","Đồ họa tĩnh","b"
454,46,"Âm thanh trong multimedia dùng để?","Trang trí","Tăng trải nghiệm","Giảm dung lượng","Mã hóa","b"
455,46,"Thiết kế đa phương tiện thường dùng trong lĩnh vực nào?","Y tế","Giáo dục và giải trí","Cơ khí","Luật","b"
456,46,"Phần mềm phổ biến cho multimedia là gì?","Excel","Premiere","Word","Access","b"
457,46,"Animation là gì?","Ảnh tĩnh","Hình ảnh chuyển động","Âm thanh","Văn bản","b"
458,46,"Thiết kế đa phương tiện cần yếu tố nào?","Ngẫu nhiên","Sáng tạo và kỹ thuật","Chỉ kỹ thuật","Chỉ mỹ thuật","b"
459,46,"Multimedia giúp gì cho truyền thông?","Giảm tương tác","Tăng hiệu quả truyền tải","Gây nhiễu","Khó hiểu","b"
460,46,"Thiết kế đa phương tiện liên quan chặt đến lĩnh vực nào?","CNTT","Truyền thông số","Kế toán","Luật","b"
461,47,"Thiết kế kiến trúc là gì?","Trang trí","Thiết kế không gian xây dựng","Lập trình","Cơ khí","b"
462,47,"Đối tượng của kiến trúc là gì?","Máy móc","Công trình","Phần mềm","Hệ thống","b"
463,47,"Bản vẽ kiến trúc dùng để làm gì?","Trang trí","Thể hiện thiết kế","Quảng cáo","Kế toán","b"
464,47,"Kiến trúc cần đảm bảo yếu tố nào?","Ngẫu nhiên","Thẩm mỹ và công năng","Chỉ đẹp","Chỉ bền","b"
465,47,"Vật liệu xây dựng ảnh hưởng đến gì?","Chi phí","Độ bền và thẩm mỹ","Marketing","Pháp lý","b"
466,47,"Kiến trúc xanh hướng đến điều gì?","Chi phí thấp","Bảo vệ môi trường","Trang trí","Tăng chiều cao","b"
467,47,"Công trình kiến trúc phục vụ ai?","Kỹ sư","Con người","Máy móc","Doanh nghiệp","b"
468,47,"Thiết kế kiến trúc cần tuân theo gì?","Sở thích","Quy chuẩn xây dựng","Quảng cáo","Marketing","b"
469,47,"Kiến trúc khác xây dựng ở điểm nào?","Không khác","Tập trung thiết kế","Chỉ thi công","Chỉ vật liệu","b"
470,47,"Thiết kế kiến trúc liên quan đến ngành nào?","Mỹ thuật","Xây dựng","CNTT","Kế toán","b"
471,48,"Kỹ thuật xây dựng là gì?","Thiết kế logo","Thiết kế và thi công công trình","Lập trình","Marketing","b"
472,48,"Đối tượng của kỹ thuật xây dựng là gì?","Phần mềm","Công trình xây dựng","Website","Ứng dụng","b"
473,48,"Toán kỹ thuật dùng để làm gì?","Trang trí","Tính toán kết cấu","Quảng cáo","Kế toán","b"
474,48,"Kết cấu chịu lực là gì?","Trang trí","Phần chịu tải của công trình","Mặt tiền","Sơn","b"
475,48,"Vật liệu xây dựng gồm gì?","Gỗ, thép, bê tông","Giấy","Nhựa mềm","Vải","a"
476,48,"An toàn lao động trong xây dựng nhằm gì?","Tiết kiệm","Bảo vệ con người","Tăng tốc","Trang trí","b"
477,48,"Bản vẽ kỹ thuật dùng để?","Quảng cáo","Thi công chính xác","Trang trí","Marketing","b"
478,48,"Giám sát thi công nhằm mục đích gì?","Trang trí","Đảm bảo chất lượng","Giảm chi phí","Quảng bá","b"
